"Index","DJI.Open","DJI.High","DJI.Low","DJI.Close","DJI.Volume","DJI.Adjusted"
"2008-07-16",11239.299805,11239.299805,11239.299805,11239.299805,0,11239.299805
"2008-07-17",11446.700195,11446.700195,11446.700195,11446.700195,0,11446.700195
"2008-07-18",11496.599609,11496.599609,11496.599609,11496.599609,0,11496.599609
"2008-07-21",NA,NA,NA,NA,NA,NA
"2008-07-22",11602.5,11602.5,11602.5,11602.5,0,11602.5
"2008-07-23",11632.400391,11632.400391,11632.400391,11632.400391,0,11632.400391
"2008-07-24",11349.299805,11349.299805,11349.299805,11349.299805,0,11349.299805
"2008-07-25",11370.700195,11370.700195,11370.700195,11370.700195,0,11370.700195
"2008-07-28",11131.099609,11131.099609,11131.099609,11131.099609,0,11131.099609
"2008-07-29",11397.599609,11397.599609,11397.599609,11397.599609,0,11397.599609
"2008-07-30",11583.700195,11583.700195,11583.700195,11583.700195,0,11583.700195
"2008-07-31",11378,11378,11378,11378,0,11378
"2008-08-01",NA,NA,NA,NA,NA,NA
"2008-08-04",11284.200195,11284.200195,11284.200195,11284.200195,0,11284.200195
"2008-08-05",11615.799805,11615.799805,11615.799805,11615.799805,0,11615.799805
"2008-08-06",11656.099609,11656.099609,11656.099609,11656.099609,0,11656.099609
"2008-08-07",11431.400391,11431.400391,11431.400391,11431.400391,0,11431.400391
"2008-08-08",11734.299805,11734.299805,11734.299805,11734.299805,0,11734.299805
"2008-08-11",11782.299805,11782.299805,11782.299805,11782.299805,0,11782.299805
"2008-08-12",11642.5,11642.5,11642.5,11642.5,0,11642.5
"2008-08-13",11533,11533,11533,11533,0,11533
"2008-08-14",11615.900391,11615.900391,11615.900391,11615.900391,0,11615.900391
"2008-08-15",11659.900391,11659.900391,11659.900391,11659.900391,0,11659.900391
"2008-08-18",NA,NA,NA,NA,NA,NA
"2008-08-19",11348.5,11348.5,11348.5,11348.5,0,11348.5
"2008-08-20",NA,NA,NA,NA,NA,NA
"2008-08-21",11430.200195,11430.200195,11430.200195,11430.200195,0,11430.200195
"2008-08-22",11628.099609,11628.099609,11628.099609,11628.099609,0,11628.099609
"2008-08-25",11386.200195,11386.200195,11386.200195,11386.200195,0,11386.200195
"2008-08-26",NA,NA,NA,NA,NA,NA
"2008-08-27",11502.5,11502.5,11502.5,11502.5,0,11502.5
"2008-08-28",11715.200195,11715.200195,11715.200195,11715.200195,0,11715.200195
"2008-08-29",11543.5,11543.5,11543.5,11543.5,0,11543.5
"2008-09-02",11516.900391,11516.900391,11516.900391,11516.900391,0,11516.900391
"2008-09-03",11532.900391,11532.900391,11532.900391,11532.900391,0,11532.900391
"2008-09-04",11188.200195,11188.200195,11188.200195,11188.200195,0,11188.200195
"2008-09-05",11221,11221,11221,11221,0,11221
"2008-09-08",11510.700195,11510.700195,11510.700195,11510.700195,0,11510.700195
"2008-09-09",11230.700195,11230.700195,11230.700195,11230.700195,0,11230.700195
"2008-09-10",NA,NA,NA,NA,NA,NA
"2008-09-11",11433.700195,11433.700195,11433.700195,11433.700195,0,11433.700195
"2008-09-12",11422,11422,11422,11422,0,11422
"2008-09-15",10917.5,10917.5,10917.5,10917.5,0,10917.5
"2008-09-16",NA,NA,NA,NA,NA,NA
"2008-09-17",10609.700195,10609.700195,10609.700195,10609.700195,0,10609.700195
"2008-09-18",11019.700195,11019.700195,11019.700195,11019.700195,0,11019.700195
"2008-09-19",11388.400391,11388.400391,11388.400391,11388.400391,0,11388.400391
"2008-09-22",11015.700195,11015.700195,11015.700195,11015.700195,0,11015.700195
"2008-09-23",10854.200195,10854.200195,10854.200195,10854.200195,0,10854.200195
"2008-09-24",10825.200195,10825.200195,10825.200195,10825.200195,0,10825.200195
"2008-09-25",11022.099609,11022.099609,11022.099609,11022.099609,0,11022.099609
"2008-09-26",11143.099609,11143.099609,11143.099609,11143.099609,0,11143.099609
"2008-09-29",10365.5,10365.5,10365.5,10365.5,0,10365.5
"2008-09-30",10850.700195,10850.700195,10850.700195,10850.700195,0,10850.700195
"2008-10-01",10831.099609,10831.099609,10831.099609,10831.099609,0,10831.099609
"2008-10-02",10482.799805,10482.799805,10482.799805,10482.799805,0,10482.799805
"2008-10-03",10325.400391,10325.400391,10325.400391,10325.400391,0,10325.400391
"2008-10-06",NA,NA,NA,NA,NA,NA
"2008-10-07",9447.110352,9447.110352,9447.110352,9447.110352,0,9447.110352
"2008-10-08",9258.099609,9258.099609,9258.099609,9258.099609,0,9258.099609
"2008-10-09",8579.19043,8579.19043,8579.19043,8579.19043,0,8579.19043
"2008-10-10",8451.19043,8451.19043,8451.19043,8451.19043,0,8451.19043
"2008-10-13",9387.610352,9387.610352,9387.610352,9387.610352,0,9387.610352
"2008-10-14",NA,NA,NA,NA,NA,NA
"2008-10-15",8577.910156,8577.910156,8577.910156,8577.910156,0,8577.910156
"2008-10-16",8979.259766,8979.259766,8979.259766,8979.259766,0,8979.259766
"2008-10-17",8852.219727,8852.219727,8852.219727,8852.219727,0,8852.219727
"2008-10-20",9265.429688,9265.429688,9265.429688,9265.429688,0,9265.429688
"2008-10-21",9033.660156,9033.660156,9033.660156,9033.660156,0,9033.660156
"2008-10-22",8519.209961,8519.209961,8519.209961,8519.209961,0,8519.209961
"2008-10-23",NA,NA,NA,NA,NA,NA
"2008-10-24",8378.950195,8378.950195,8378.950195,8378.950195,0,8378.950195
"2008-10-27",8175.77002,8175.77002,8175.77002,8175.77002,0,8175.77002
"2008-10-28",9065.120117,9065.120117,9065.120117,9065.120117,0,9065.120117
"2008-10-29",8990.959961,8990.959961,8990.959961,8990.959961,0,8990.959961
"2008-10-30",9180.69043,9180.69043,9180.69043,9180.69043,0,9180.69043
"2008-10-31",9325.009766,9325.009766,9325.009766,9325.009766,0,9325.009766
"2008-11-03",9319.830078,9319.830078,9319.830078,9319.830078,0,9319.830078
"2008-11-04",NA,NA,NA,NA,NA,NA
"2008-11-05",NA,NA,NA,NA,NA,NA
"2008-11-06",NA,NA,NA,NA,NA,NA
"2008-11-07",8943.80957,8943.80957,8943.80957,8943.80957,0,8943.80957
"2008-11-10",8870.540039,8870.540039,8870.540039,8870.540039,0,8870.540039
"2008-11-11",8693.959961,8693.959961,8693.959961,8693.959961,0,8693.959961
"2008-11-12",8282.660156,8282.660156,8282.660156,8282.660156,0,8282.660156
"2008-11-13",8835.25,8835.25,8835.25,8835.25,0,8835.25
"2008-11-14",8497.30957,8497.30957,8497.30957,8497.30957,0,8497.30957
"2008-11-17",8273.580078,8273.580078,8273.580078,8273.580078,0,8273.580078
"2008-11-18",8424.75,8424.75,8424.75,8424.75,0,8424.75
"2008-11-19",7997.279785,7997.279785,7997.279785,7997.279785,0,7997.279785
"2008-11-20",7552.290039,7552.290039,7552.290039,7552.290039,0,7552.290039
"2008-11-21",8046.419922,8046.419922,8046.419922,8046.419922,0,8046.419922
"2008-11-24",8443.389648,8443.389648,8443.389648,8443.389648,0,8443.389648
"2008-11-25",8479.469727,8479.469727,8479.469727,8479.469727,0,8479.469727
"2008-11-26",8726.610352,8726.610352,8726.610352,8726.610352,0,8726.610352
"2008-11-28",8829.040039,8829.040039,8829.040039,8829.040039,0,8829.040039
"2008-12-01",8149.089844,8149.089844,8149.089844,8149.089844,0,8149.089844
"2008-12-02",8419.089844,8419.089844,8419.089844,8419.089844,0,8419.089844
"2008-12-03",NA,NA,NA,NA,NA,NA
"2008-12-04",8376.240234,8376.240234,8376.240234,8376.240234,0,8376.240234
